start,end,event,start_lat,start_lon,end_lat,end_lon,pic,pic2,,
10/3/09,11/8/09,Local Government Elections,-26.20192,28.05097,,,local.jpg,local.jpg,,I have pictures and maybe some clips
11/13/09,,Orlando East March,-26.243254,27.923966,-26.23735,27.927667,orlando.jpg,orlando.jpg,,I have pictures and some clips
12/5/09,,Abahlali Solidarity March,-26.286488,27.847106,-26.275521,27.835991,abahlali.jpg,abahlali.jpg,,I have pictures and some clips
1/21/10,,Nersa Hearings,-26.0023427,28.1310076,,,orlando.jpg,orlando.jpg,,
2/22/10,,Vaal March ,-26.6753884,27.9284722,,,local.jpg,local.jpg,,
3/21/10,,Sharpeville Memorial,-26.6857113,27.8709334,,,local.jpg,local.jpg,,
5/11/10,,Vaal March to Arcelor Mittal,-26.673235,27.8040497,,,orlando.jpg,orlando.jpg,,
6/11/10,,World Cup March,-26.25105,27.95678,-26.249917,27.962842,local.jpg,local.jpg,,
6/25/10,,Jozi Regional Housing March,-26.204407,28.037939,,,local.jpg,local.jpg,,
7/25/10,,Remmoho Elections,-26.20192,28.05097,,,scr.jpg,scr.jpg,,
9/15/10,,Soweto March,-26.2676604,27.8606672,,,orlando.jpg,orlando.jpg,,
10/19/10,,Silent March ,-26.19289,28.034651,26.189771,28.043127,local.jpg,local.jpg,,
11/29/10,,SECC March,-26.2663774,27.8754511,,,scr.jpg,scr.jpg,,
